id,X,Y,month,day,FFMC,DMC
1,7,5,mar,fri,86.2,26.2
2,7,4,oct,tue,90.6,
3,7,4,oct,sat,90.6,43.7
4,8,6,mar,fri,91.7,33.3
5,8,6,mar,?,89.3,51.3
6,8,6,aug,?,92.3,85.3
7,8,6,aug,mon,92.3,
8,8,6,aug,?,91.5,145.4
9,8,6,sep,tue,91.0,
10,7,5,sep,?,92.5,88.0
11,7,5,sep,sat,92.5,88.0
12,7,5,sep,?,92.8,73.2
13,6,5,aug,?,63.5,
14,6,5,sep,?,90.9,126.5
15,6,5,sep,?,92.9,133.3
16,6,5,sep,?,93.3,141.2
17,5,5,mar,sat,91.7,35.8
18,8,5,oct,?,84.9,
19,6,4,mar,?,89.2,27.9
20,6,4,apr,sat,86.3,
21,6,4,sep,?,91.0,129.5
22,5,4,sep,?,91.8,78.5
23,7,4,jun,sun,94.3,
24,7,4,aug,sat,90.2,110.9
25,7,4,aug,sat,93.5,139.4
26,7,4,aug,?,91.4,
27,7,4,sep,fri,92.4,117.9
28,7,4,sep,mon,90.9,126.5
29,6,3,sep,sat,93.4,
30,6,3,sep,sun,93.5,149.3
31,6,3,sep,?,94.3,
32,6,3,sep,mon,88.6,
33,6,3,sep,?,88.6,69.7
34,6,3,sep,sun,91.7,
35,6,3,sep,mon,91.8,78.5
36,6,3,sep,?,90.3,
37,6,3,oct,?,90.6,35.4
38,7,4,oct,fri,90.0,
39,7,3,oct,sat,90.6,43.7
40,4,4,mar,?,88.1,25.7
41,4,4,jul,?,79.5,
42,4,4,aug,?,90.2,
43,4,4,aug,tue,94.8,108.3
44,4,4,sep,sat,92.5,88.0
45,4,4,sep,?,90.1,82.9
46,5,6,sep,wed,94.3,85.1
47,5,6,sep,mon,90.9,
48,6,6,jul,mon,94.2,62.3
49,4,4,mar,mon,87.2,23.9
50,4,4,mar,mon,87.6,
51,4,4,sep,thu,92.9,137.0
52,4,3,aug,sun,90.2,99.6
53,4,3,aug,?,92.1,
54,4,3,aug,wed,92.1,111.2
55,4,3,aug,thu,91.7,114.3
56,4,3,sep,?,92.9,
57,4,3,sep,tue,90.3,80.7
58,4,3,oct,sun,92.6,46.5
59,2,2,feb,?,84.0,
60,2,2,feb,?,86.6,13.2
61,2,2,mar,sun,89.3,
62,2,2,mar,?,89.3,51.3
63,2,2,aug,thu,93.0,75.3
64,2,2,aug,sun,90.2,99.6
65,2,2,aug,?,91.1,103.2
66,2,2,aug,thu,91.7,114.3
67,2,2,sep,?,92.4,117.9
68,2,2,sep,fri,92.4,117.9
69,2,2,sep,fri,92.4,117.9
70,4,5,mar,fri,91.7,33.3
71,4,5,mar,?,91.2,48.3
72,4,5,sep,fri,94.3,
73,5,4,mar,fri,91.7,
74,5,4,aug,tue,88.8,147.3
75,5,4,sep,fri,93.3,
76,9,9,feb,thu,84.2,6.8
77,9,9,feb,fri,86.6,13.2
78,1,3,mar,mon,87.6,
79,1,2,aug,?,90.1,108.0
80,1,2,aug,?,91.0,121.2
81,1,2,aug,sun,91.4,142.4
82,1,2,aug,?,90.2,99.6
83,1,2,aug,tue,94.8,
84,1,2,aug,?,92.1,111.2
85,1,2,aug,thu,91.7,114.3
86,1,2,sep,thu,92.9,137.0
87,1,2,sep,thu,92.9,137.0
88,1,2,sep,?,92.9,
89,1,2,sep,sun,93.5,149.3
90,6,5,mar,?,91.7,35.8
91,6,5,aug,sat,90.2,96.9
92,8,6,mar,?,91.7,35.8
93,8,6,aug,sun,92.3,85.3
94,8,6,aug,?,91.4,
95,8,6,aug,mon,91.1,103.2
96,4,4,sep,sun,89.7,90.0
97,3,4,feb,sat,83.9,8.0
98,3,4,mar,sat,69.0,
99,3,4,aug,sun,91.4,142.4
100,3,4,aug,?,91.4,142.4
101,3,4,aug,sun,91.4,142.4
102,3,4,aug,tue,88.8,147.3
103,2,4,aug,?,94.8,
104,2,4,sep,?,92.5,121.1
105,2,4,jan,?,82.1,3.7
106,4,5,mar,fri,85.9,19.5
107,4,5,mar,?,91.4,30.7
108,4,5,aug,sun,90.2,99.6
109,4,5,sep,sat,92.5,88.0
110,4,5,sep,?,88.6,
111,4,4,mar,?,85.9,19.5
112,3,4,mar,fri,91.7,33.3
113,3,4,sep,?,89.7,90.0
114,3,4,sep,mon,91.8,78.5
115,3,4,mar,tue,88.1,25.7
116,3,5,mar,tue,88.1,
117,3,4,mar,sat,91.7,35.8
118,3,4,mar,sat,91.7,35.8
119,3,4,mar,?,90.1,39.7
120,3,4,aug,thu,93.0,75.3
121,3,4,aug,mon,91.5,145.4
122,3,4,aug,mon,91.5,145.4
123,3,4,sep,sun,92.4,
124,3,4,sep,?,84.4,73.4
125,3,4,sep,fri,94.3,85.1
126,3,4,oct,?,92.6,46.5
127,3,5,mar,mon,87.6,52.2
128,3,5,sep,fri,93.5,
129,3,5,oct,wed,91.4,
130,2,5,oct,?,92.6,46.5
131,4,6,feb,?,68.2,21.5
132,4,6,mar,mon,87.2,23.9
133,4,6,mar,?,89.3,
134,4,6,sep,thu,93.7,80.9
135,3,5,mar,tue,88.1,25.7
136,3,5,aug,sat,93.5,139.4
137,3,6,sep,sun,92.4,124.1
138,3,6,sep,mon,90.9,126.5
139,9,9,jul,?,85.8,48.3
140,1,4,sep,tue,91.0,129.5
141,2,5,sep,?,90.9,
142,1,2,aug,wed,95.5,99.9
143,8,6,aug,fri,90.1,108.0
144,1,2,jul,?,90.0,
145,2,5,aug,wed,95.5,99.9
146,6,5,aug,thu,95.2,131.7
147,5,4,mar,?,90.1,39.7
148,8,3,sep,?,84.4,
149,2,2,aug,?,94.8,
150,8,6,sep,?,93.7,80.9
151,6,5,jun,fri,92.5,
152,9,9,jul,sun,90.1,68.6
153,3,4,jul,?,90.1,51.2
154,5,4,sep,fri,94.3,
155,1,5,sep,sat,93.4,145.4
156,7,4,aug,?,94.8,108.3
157,2,4,sep,sat,93.4,145.4
158,2,2,aug,?,92.1,111.2
159,2,4,aug,wed,92.1,111.2
160,7,4,sep,fri,92.4,117.9
161,7,4,mar,?,90.1,
162,6,4,aug,?,95.2,131.7
163,6,3,mar,sat,90.6,50.1
164,8,6,sep,?,92.5,121.1
165,8,5,sep,?,89.7,90.0
166,6,5,mar,thu,84.9,
167,6,5,aug,wed,92.1,111.2
168,6,5,aug,?,96.0,127.1
169,6,5,mar,?,91.2,48.3
170,8,6,aug,thu,95.2,131.7
171,5,4,sep,wed,92.9,133.3
172,8,6,aug,wed,85.6,90.4
173,7,4,aug,sun,91.4,142.4
174,4,4,sep,mon,90.9,126.5
175,1,4,aug,sat,90.2,96.9
176,1,4,aug,sat,90.2,96.9
177,6,5,apr,thu,81.5,
178,2,5,aug,sun,90.2,99.6
179,2,5,sep,?,90.1,
180,8,6,aug,tue,88.8,
181,1,3,sep,?,92.4,
182,8,6,oct,?,84.9,32.8
183,5,4,feb,sun,86.8,15.6
184,7,4,oct,mon,91.7,48.5
185,8,6,aug,fri,93.9,
186,2,5,sep,?,91.0,129.5
187,8,6,mar,sun,89.3,
188,1,5,sep,mon,90.9,126.5
189,6,4,mar,sat,90.8,41.9
190,7,4,mar,sun,90.7,
191,6,5,mar,fri,91.2,48.3
192,2,5,aug,thu,95.2,131.7
193,2,2,aug,?,94.8,108.3
194,4,5,sep,?,92.9,133.3
195,2,2,aug,tue,94.8,108.3
196,2,5,aug,fri,93.9,
197,6,5,apr,thu,81.5,
198,4,5,sep,thu,92.9,137.0
199,3,4,sep,tue,91.0,
200,2,4,sep,mon,63.5,70.8
201,1,5,sep,?,91.0,
202,6,5,mar,sun,90.1,37.6
203,7,4,feb,sun,83.9,8.7
204,8,6,oct,wed,91.4,
205,5,6,mar,sat,90.6,50.1
206,4,5,sep,?,92.9,137.0
207,2,2,aug,sat,93.5,139.4
208,7,5,sep,?,91.0,
209,6,5,sep,?,92.4,117.9
210,8,3,sep,?,93.7,
211,4,4,oct,sat,90.6,43.7
212,7,4,aug,sat,93.5,139.4
213,7,4,sep,fri,94.3,
214,7,3,mar,mon,87.6,52.2
215,4,4,mar,?,91.7,35.8
216,4,4,mar,sat,91.7,35.8
217,4,4,sep,?,92.4,124.1
218,1,3,sep,?,88.6,91.8
219,4,5,sep,?,92.9,
220,6,5,mar,mon,90.1,39.7
221,8,6,aug,?,90.2,
222,3,4,sep,?,93.3,141.2
223,4,3,mar,mon,87.6,
224,2,2,jul,fri,88.3,150.3
225,7,4,sep,?,90.1,82.9
226,4,4,sep,?,93.5,149.3
227,7,5,oct,mon,91.7,48.5
228,8,6,aug,?,92.2,81.8
229,4,6,sep,sun,93.5,149.3
230,8,6,aug,sat,92.2,
231,4,4,sep,wed,92.9,
232,1,5,sep,?,93.5,149.3
233,6,4,sep,?,91.0,129.5
234,9,4,sep,tue,84.4,73.4
235,4,5,sep,sat,92.5,
236,8,6,aug,sun,91.4,142.4
237,2,2,sep,sat,92.5,
238,1,2,sep,tue,91.0,129.5
239,6,5,sep,?,92.5,121.1
240,7,5,apr,sun,81.9,3.0
241,6,3,apr,wed,88.0,17.2
242,4,4,apr,fri,83.0,23.3
243,2,4,aug,?,94.2,
244,7,4,aug,sun,91.8,
245,2,4,aug,sun,91.8,175.1
246,3,4,aug,?,91.8,175.1
247,5,4,aug,sun,91.8,175.1
248,2,4,aug,wed,92.2,91.6
249,8,6,aug,wed,93.1,
250,3,4,aug,wed,93.1,157.3
251,8,5,aug,wed,93.1,157.3
252,8,5,aug,?,93.1,157.3
253,6,5,aug,wed,93.1,157.3
254,7,4,aug,thu,91.9,
255,6,3,aug,thu,91.6,138.1
256,2,5,aug,?,87.5,77.0
257,8,6,aug,?,94.2,117.2
258,4,3,aug,sat,94.2,117.2
259,3,4,aug,sat,91.8,170.9
260,7,4,aug,sat,91.8,170.9
261,2,4,aug,mon,93.6,97.9
262,3,4,aug,fri,91.6,112.4
263,2,4,aug,fri,91.6,
264,6,3,aug,fri,91.1,
265,4,4,aug,?,94.3,167.6
266,4,4,aug,?,93.7,
267,6,5,aug,?,94.3,131.7
268,2,2,aug,tue,92.1,
269,3,4,aug,tue,92.1,152.6
270,4,4,aug,tue,92.1,152.6
271,2,2,aug,tue,92.1,152.6
272,8,6,aug,tue,92.1,152.6
273,2,5,aug,tue,92.1,152.6
274,4,6,dec,sun,84.4,
275,8,6,dec,wed,84.0,27.8
276,4,6,dec,thu,84.6,26.4
277,4,4,dec,mon,85.4,
278,3,4,dec,mon,85.4,25.4
279,4,4,dec,mon,85.4,25.4
280,4,4,dec,mon,85.4,
281,4,6,dec,fri,84.7,26.7
282,6,5,dec,tue,85.4,25.4
283,6,3,feb,?,84.9,27.5
284,3,4,feb,wed,86.9,6.6
285,5,4,feb,fri,85.2,
286,2,5,jul,sun,93.9,169.7
287,7,6,jul,wed,91.2,
288,7,4,jul,sat,91.6,104.2
289,7,4,jul,?,91.6,104.2
290,7,4,jul,sat,91.6,104.2
291,2,5,jul,sat,91.6,104.2
292,9,4,jul,?,91.6,104.2
293,4,5,jul,fri,91.6,100.2
294,7,6,jul,tue,93.1,180.4
295,8,6,jul,tue,92.3,88.8
296,7,5,jun,?,93.1,180.4
297,6,4,jun,?,90.4,89.5
298,8,6,jun,sun,90.4,89.5
299,8,6,jun,?,91.2,
300,6,5,jun,sat,53.4,
301,6,5,jun,mon,90.4,93.3
302,6,5,jun,mon,90.4,93.3
303,3,6,jun,fri,91.1,94.1
304,3,6,jun,?,91.1,94.1
305,6,5,may,?,85.1,28.0
306,1,4,sep,sun,89.6,84.1
307,7,4,sep,sun,89.6,84.1
308,3,4,sep,sun,89.6,84.1
309,2,4,sep,sun,92.4,105.8
310,2,4,sep,?,92.4,105.8
311,7,4,sep,sun,92.4,105.8
312,6,3,sep,?,92.4,105.8
313,2,4,sep,?,50.4,46.2
314,6,5,sep,wed,92.6,115.4
315,4,4,sep,?,92.6,115.4
316,3,4,sep,?,91.2,
317,4,5,sep,?,92.4,96.2
318,4,4,sep,thu,92.4,96.2
319,6,5,sep,thu,92.8,
320,5,4,sep,?,92.8,119.0
321,6,3,sep,?,92.8,
322,1,4,sep,thu,92.8,119.0
323,6,5,sep,thu,92.8,119.0
324,3,5,sep,?,90.7,
325,6,5,sep,?,88.1,53.3
326,1,4,sep,sat,92.2,
