id,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
1,Albania1987,,"2,156,624,900",796.0,Generation X
2,Albania1987,,"2,156,624,900",,Silent
3,Albania1987,,"2,156,624,900",796.0,Generation X
4,Albania1987,,"2,156,624,900",796.0,G.I. Generation
5,Albania1987,,"2,156,624,900",796.0,Boomers
6,Albania1987,,"2,156,624,900",796.0,G.I. Generation
7,Albania1987,,"2,156,624,900",796.0,Silent
8,Albania1987,,"2,156,624,900",796.0,Boomers
9,Albania1987,,"2,156,624,900",796.0,G.I. Generation
10,Albania1987,,"2,156,624,900",796.0,Generation X
11,Albania1987,,"2,156,624,900",796.0,G.I. Generation
12,Albania1987,,"2,156,624,900",796.0,Generation X
13,Albania1988,,"2,126,000,000",769.0,G.I. Generation
14,Albania1988,,"2,126,000,000",769.0,Generation X
15,Albania1988,,"2,126,000,000",769.0,G.I. Generation
16,Albania1988,,"2,126,000,000",769.0,Silent
17,Albania1988,,"2,126,000,000",769.0,G.I. Generation
18,Albania1988,,"2,126,000,000",769.0,Generation X
19,Albania1988,,"2,126,000,000",769.0,G.I. Generation
20,Albania1988,,"2,126,000,000",769.0,Boomers
21,Albania1988,,"2,126,000,000",769.0,Boomers
22,Albania1988,,"2,126,000,000",769.0,Silent
23,Albania1988,,"2,126,000,000",769.0,Generation X
24,Albania1988,,"2,126,000,000",769.0,Generation X
25,Albania1989,,"2,335,124,988",833.0,G.I. Generation
26,Albania1989,,"2,335,124,988",833.0,Boomers
27,Albania1989,,"2,335,124,988",833.0,Silent
28,Albania1989,,"2,335,124,988",833.0,G.I. Generation
29,Albania1989,,"2,335,124,988",,Generation X
30,Albania1989,,"2,335,124,988",833.0,Silent
31,Albania1989,,"2,335,124,988",833.0,Generation X
32,Albania1989,,"2,335,124,988",,Boomers
33,Albania1989,,"2,335,124,988",833.0,G.I. Generation
34,Albania1989,,"2,335,124,988",833.0,Generation X
35,Albania1989,,"2,335,124,988",,G.I. Generation
36,Albania1989,,"2,335,124,988",833.0,Generation X
37,Albania1992,,"709,452,584",251.0,Boomers
38,Albania1992,,"709,452,584",251.0,Generation X
39,Albania1992,,"709,452,584",251.0,Silent
40,Albania1992,,"709,452,584",251.0,Boomers
41,Albania1992,,"709,452,584",251.0,Generation X
42,Albania1992,,"709,452,584",251.0,Boomers
43,Albania1992,,"709,452,584",251.0,Boomers
44,Albania1992,,"709,452,584",,Silent
45,Albania1992,,"709,452,584",251.0,Millenials
46,Albania1992,,"709,452,584",251.0,G.I. Generation
47,Albania1992,,"709,452,584",251.0,Millenials
48,Albania1992,,"709,452,584",251.0,G.I. Generation
49,Albania1993,,"1,228,071,038",437.0,Generation X
50,Albania1993,,"1,228,071,038",,Silent
51,Albania1993,,"1,228,071,038",,G.I. Generation
52,Albania1993,,"1,228,071,038",437.0,Boomers
53,Albania1993,,"1,228,071,038",437.0,Generation X
54,Albania1993,,"1,228,071,038",437.0,Boomers
55,Albania1993,,"1,228,071,038",437.0,Boomers
56,Albania1993,,"1,228,071,038",437.0,Boomers
57,Albania1993,,"1,228,071,038",437.0,Silent
58,Albania1993,,"1,228,071,038",437.0,Millenials
59,Albania1993,,"1,228,071,038",,Millenials
60,Albania1993,,"1,228,071,038",437.0,G.I. Generation
61,Albania1994,,"1,985,673,798",697.0,G.I. Generation
62,Albania1994,,"1,985,673,798",697.0,Silent
63,Albania1994,,"1,985,673,798",697.0,G.I. Generation
64,Albania1994,,"1,985,673,798",697.0,Boomers
65,Albania1994,,"1,985,673,798",697.0,Boomers
66,Albania1994,,"1,985,673,798",697.0,Generation X
67,Albania1994,,"1,985,673,798",697.0,Generation X
68,Albania1994,,"1,985,673,798",697.0,Boomers
69,Albania1994,,"1,985,673,798",697.0,Boomers
70,Albania1994,,"1,985,673,798",697.0,Silent
71,Albania1994,,"1,985,673,798",697.0,Millenials
72,Albania1994,,"1,985,673,798",697.0,Millenials
73,Albania1995,0.619,"2,424,499,009",835.0,Generation X
74,Albania1995,0.619,"2,424,499,009",835.0,Silent
75,Albania1995,0.619,"2,424,499,009",835.0,G.I. Generation
76,Albania1995,0.619,"2,424,499,009",835.0,Generation X
77,Albania1995,0.619,"2,424,499,009",,Generation X
78,Albania1995,0.619,"2,424,499,009",835.0,G.I. Generation
79,Albania1995,0.619,"2,424,499,009",835.0,Boomers
80,Albania1995,0.619,"2,424,499,009",,Generation X
81,Albania1995,0.619,"2,424,499,009",835.0,Boomers
82,Albania1995,0.619,"2,424,499,009",835.0,Millenials
83,Albania1995,0.619,"2,424,499,009",,Silent
84,Albania1995,0.619,"2,424,499,009",835.0,Millenials
85,Albania1996,,"3,314,898,292",,G.I. Generation
86,Albania1996,,"3,314,898,292",1127.0,Generation X
87,Albania1996,,"3,314,898,292",1127.0,Generation X
88,Albania1996,,"3,314,898,292",1127.0,Generation X
89,Albania1996,,"3,314,898,292",1127.0,G.I. Generation
90,Albania1996,,"3,314,898,292",1127.0,Generation X
91,Albania1996,,"3,314,898,292",1127.0,Boomers
92,Albania1996,,"3,314,898,292",1127.0,Boomers
