id,country,year,sex,age,suicides_no,population,suicides/100k pop
1,Albania,1987.0,male,,21,312900.0,6.71
2,Albania,1987.0,male,,16,308000.0,5.19
3,Albania,,female,15-24 years,14,289700.0,4.83
4,Albania,1987.0,male,75+ years,1,,4.59
5,Albania,1987.0,male,25-34 years,9,274300.0,3.28
6,Albania,1987.0,female,75+ years,1,35600.0,2.81
7,Albania,,female,35-54 years,6,278800.0,2.15
8,Albania,1987.0,female,25-34 years,4,?,1.56
9,Albania,1987.0,male,,1,137500.0,0.73
10,Albania,1987.0,female,5-14 years,0,311000.0,0.0
11,Albania,,female,55-74 years,0,144600.0,0.0
12,Albania,1987.0,male,5-14 years,0,,0.0
13,Albania,,female,75+ years,2,36400.0,5.49
14,Albania,1988.0,male,15-24 years,17,319200.0,5.33
15,Albania,1988.0,male,75+ years,1,22300.0,4.48
16,Albania,,male,,14,314100.0,4.46
17,Albania,1988.0,male,55-74 years,4,140200.0,2.85
18,Albania,1988.0,female,,8,295600.0,2.71
19,Albania,,female,,3,147500.0,2.03
20,Albania,1988.0,female,25-34 years,5,262400.0,1.91
21,Albania,1988.0,male,25-34 years,5,279900.0,1.79
22,Albania,1988.0,female,35-54 years,4,284500.0,1.41
23,Albania,1988.0,female,5-14 years,0,317200.0,0.0
24,Albania,1988.0,male,5-14 years,0,345000.0,0.0
25,Albania,1989.0,male,,2,22500.0,8.89
26,Albania,1989.0,male,25-34 years,18,283600.0,6.35
27,Albania,,male,35-54 years,15,318400.0,4.71
28,Albania,1989.0,male,55-74 years,6,142100.0,4.22
29,Albania,,male,,12,,3.71
30,Albania,1989.0,female,,7,288600.0,2.43
31,Albania,1989.0,female,15-24 years,5,299900.0,1.67
32,Albania,1989.0,female,25-34 years,2,?,0.75
33,Albania,1989.0,female,55-74 years,1,149600.0,0.67
34,Albania,1989.0,female,,0,321900.0,0.0
35,Albania,1989.0,female,,0,37000.0,0.0
36,Albania,1989.0,male,5-14 years,0,349700.0,0.0
37,Albania,1992.0,male,35-54 years,12,,3.49
38,Albania,1992.0,male,15-24 years,9,263700.0,3.41
39,Albania,,male,55-74 years,5,159500.0,3.13
40,Albania,1992.0,male,25-34 years,7,245500.0,2.85
41,Albania,1992.0,female,15-24 years,7,292400.0,2.39
42,Albania,1992.0,female,25-34 years,4,267400.0,1.5
43,Albania,1992.0,female,,2,?,0.62
44,Albania,1992.0,female,55-74 years,1,?,0.61
45,Albania,1992.0,female,5-14 years,0,336700.0,0.0
46,Albania,1992.0,female,75+ years,0,,0.0
47,Albania,,male,5-14 years,0,,0.0
48,Albania,1992.0,male,75+ years,0,23900.0,0.0
49,Albania,1993.0,male,15-24 years,18,243300.0,7.4
50,Albania,1993.0,male,55-74 years,7,165000.0,4.24
51,Albania,1993.0,male,75+ years,1,24200.0,4.13
52,Albania,1993.0,male,25-34 years,9,,3.91
53,Albania,1993.0,female,15-24 years,10,,3.51
54,Albania,1993.0,male,35-54 years,10,,2.85
55,Albania,1993.0,female,25-34 years,7,?,2.67
56,Albania,1993.0,female,35-54 years,7,331200.0,2.11
57,Albania,1993.0,female,55-74 years,2,169500.0,1.18
58,Albania,1993.0,female,5-14 years,1,340300.0,0.29
59,Albania,1993.0,male,5-14 years,1,?,0.27
60,Albania,1993.0,female,75+ years,0,39300.0,0.0
61,Albania,1994.0,male,75+ years,2,?,8.13
62,Albania,1994.0,male,55-74 years,11,171400.0,6.42
63,Albania,1994.0,female,75+ years,2,39900.0,5.01
64,Albania,1994.0,male,25-34 years,6,,2.59
65,Albania,,male,35-54 years,9,362800.0,2.48
66,Albania,1994.0,male,15-24 years,6,242200.0,2.48
67,Albania,1994.0,female,,6,282600.0,2.12
68,Albania,,female,25-34 years,4,261100.0,1.53
69,Albania,1994.0,female,35-54 years,2,342500.0,0.58
70,Albania,,female,55-74 years,1,174600.0,0.57
71,Albania,1994.0,male,5-14 years,1,371800.0,0.27
72,Albania,1994.0,female,,0,344400.0,0.0
73,Albania,1995.0,male,25-34 years,13,232900.0,5.58
74,Albania,,male,55-74 years,9,178000.0,5.06
75,Albania,1995.0,female,75+ years,2,40800.0,4.9
76,Albania,1995.0,female,15-24 years,13,283500.0,4.59
77,Albania,1995.0,male,15-24 years,11,241200.0,4.56
78,Albania,1995.0,male,75+ years,1,25100.0,3.98
79,Albania,1995.0,male,35-54 years,14,375900.0,3.72
80,Albania,,female,25-34 years,7,,2.65
81,Albania,1995.0,female,35-54 years,8,356400.0,2.24
82,Albania,1995.0,male,5-14 years,6,376500.0,1.59
83,Albania,1995.0,female,,2,,1.11
84,Albania,1995.0,female,5-14 years,2,348700.0,0.57
85,Albania,,male,75+ years,2,,7.87
86,Albania,1996.0,male,15-24 years,17,,6.98
87,Albania,,male,,14,235300.0,5.95
88,Albania,1996.0,female,15-24 years,16,287700.0,5.56
89,Albania,1996.0,female,75+ years,2,41200.0,4.85
90,Albania,,female,25-34 years,10,267900.0,3.73
91,Albania,1996.0,male,35-54 years,12,,3.16
92,Albania,,female,35-54 years,9,,2.49
93,Albania,1996.0,male,55-74 years,3,179900.0,1.67
94,Albania,,female,55-74 years,1,183100.0,0.55
95,Albania,1996.0,male,,2,,0.53
96,Albania,1996.0,female,5-14 years,1,354100.0,0.28
97,Albania,1997.0,male,25-34 years,36,236000.0,15.25
98,Albania,1997.0,male,15-24 years,33,244400.0,13.5
99,Albania,1997.0,male,75+ years,3,25400.0,11.81
100,Albania,1997.0,male,35-54 years,30,380800.0,7.88
101,Albania,1997.0,female,15-24 years,21,294000.0,7.14
102,Albania,1997.0,male,55-74 years,12,180300.0,6.66
103,Albania,1997.0,female,25-34 years,16,273900.0,5.84
104,Albania,1997.0,female,75+ years,2,42100.0,4.75
105,Albania,,female,,7,?,1.89
106,Albania,,female,5-14 years,6,,1.66
107,Albania,1997.0,male,5-14 years,4,,1.05
108,Albania,1997.0,female,55-74 years,0,187000.0,0.0
109,Albania,1998.0,male,,3,25800.0,11.63
110,Albania,,male,15-24 years,27,248800.0,10.85
111,Albania,1998.0,female,15-24 years,32,295600.0,10.83
112,Albania,1998.0,male,25-34 years,26,240400.0,10.82
113,Albania,1998.0,male,35-54 years,29,388200.0,7.47
114,Albania,1998.0,male,55-74 years,9,183800.0,4.9
