id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above
7129300520,20141013T000000,221900.0,3.0,,1180,5650,,0,0,3,7,1180
6414100192,20141209T000000,538000.0,3.0,2.25,2570,7242,2.0,0,0,3,7,2170
5631500400,20150225T000000,180000.0,2.0,,770,10000,,0,0,3,6,770
2487200875,20141209T000000,604000.0,4.0,,1960,5000,,0,0,5,7,1050
1954400510,20150218T000000,510000.0,3.0,2.0,1680,8080,1.0,0,0,3,8,1680
7237550310,20140512T000000,1225000.0,4.0,4.5,5420,101930,1.0,0,0,3,11,3890
1321400060,20140627T000000,257500.0,3.0,,1715,6819,2.0,0,0,3,7,1715
2008000270,20150115T000000,291850.0,3.0,,1060,9711,1.0,0,0,3,7,1060
2414600126,20150415T000000,229500.0,3.0,1.0,1780,7470,1.0,0,0,3,7,1050
3793500160,20150312T000000,323000.0,3.0,2.5,1890,6560,2.0,0,0,3,7,1890
1736800520,20150403T000000,662500.0,3.0,,3560,9796,,0,0,3,8,1860
9212900260,20140527T000000,468000.0,2.0,1.0,1160,6000,1.0,?,0,4,7,860
114101516,20140528T000000,310000.0,3.0,1.0,1430,19901,,0,0,4,7,1430
6054650070,20141007T000000,400000.0,3.0,1.75,1370,9680,1.0,0,0,4,7,1370
1175000570,20150312T000000,530000.0,5.0,,1810,4850,1.5,0,0,3,7,1810
9297300055,20150124T000000,650000.0,4.0,,2950,5000,2.0,0,3,3,9,1980
1875500060,20140731T000000,395000.0,3.0,2.0,1890,14040,2.0,0,0,3,7,1890
6865200140,20140529T000000,485000.0,4.0,1.0,1600,4300,1.5,0,0,4,7,1600
16000397,20141205T000000,189000.0,2.0,1.0,1200,9850,1.0,0,0,4,7,1200
7983200060,20150424T000000,230000.0,3.0,,1250,9774,,0,0,4,7,1250
6300500875,20140514T000000,385000.0,,1.75,1620,4980,1.0,0,0,4,7,860
2524049179,20140826T000000,2000000.0,,2.75,3050,44867,1.0,0,4,3,9,2330
7137970340,20140703T000000,285000.0,5.0,,2270,6300,2.0,0,0,3,8,2270
